job_title,rating,company_name,day_posted,salary,job_link
Marketing Executive Apprenticeship - Level 4,4.2,BBC,4 days ago,"£19,500",https://uk.indeed.com/rc/clk?jk=8fcab7fed57ace6c&fccid=40bdb3ff12c06472&vjs=3
Data Science Degree Apprenticeship - Salford & London - Leve...,4.2,BBC,4 days ago,"£19,500",https://uk.indeed.com/rc/clk?jk=8fcab7fed57ace6c&fccid=40bdb3ff12c06472&vjs=3
Business Administration Apprenticeship - Level 3,4.2,BBC,4 days ago,"£19,500",https://uk.indeed.com/rc/clk?jk=8fcab7fed57ace6c&fccid=40bdb3ff12c06472&vjs=3
Project Management (Business Management) Apprenticeship - Le...,4.2,BBC,4 days ago,"£19,500",https://uk.indeed.com/rc/clk?jk=8fcab7fed57ace6c&fccid=40bdb3ff12c06472&vjs=3
Data Science Postgraduate Apprenticeship Level 7,4.2,BBC,4 days ago,"£35,568",https://uk.indeed.com/rc/clk?jk=8fcab7fed57ace6c&fccid=40bdb3ff12c06472&vjs=3
Data Driven Professional Apprenticeship - Level 3,4.2,BBC,4 days ago,"£19,500",https://uk.indeed.com/rc/clk?jk=8fcab7fed57ace6c&fccid=40bdb3ff12c06472&vjs=3
Accountancy and Taxation Postgrad Apprenticeship - Level 7,4.2,BBC,4 days ago,"£23,842",https://uk.indeed.com/rc/clk?jk=8fcab7fed57ace6c&fccid=40bdb3ff12c06472&vjs=3
Solicitor Apprenticeship Programme 2023,3.8,Norton Rose Fulbright,4 days ago,"£26,500",https://uk.indeed.com/rc/clk?jk=8fcab7fed57ace6c&fccid=40bdb3ff12c06472&vjs=3
Global Technology Apprentice March 2023 London,3.8,Bank of America,2 days ago,Full-time +1,https://uk.indeed.com/rc/clk?jk=668196e4ce82f98b&fccid=231c81d7782c6a21&vjs=3
Apprentice Business Analyst,3.7,Department for Work and Pensions,3 days ago,"£28,117 - £32,515",https://uk.indeed.com/rc/clk?jk=668196e4ce82f98b&fccid=231c81d7782c6a21&vjs=3
Optometry Education Administrator,3.7,Moorfields Eye Hospital NHS Foundation Trust,4 days ago,"£32,466 - £39,521",https://uk.indeed.com/rc/clk?jk=668196e4ce82f98b&fccid=231c81d7782c6a21&vjs=3
